dataset,model,batch_size,mode,removed_count,removed_blocks,peak_mb,saved_memory_mb,saved_memory_pct,latency_ms,saved_latency_ms,speedup
imagenet,resnet50,16,full,0,,-1,0.0,0.0,392.4114,0.0,1.0
imagenet,resnet50,16,plain,1,layer4.2,-1,-1,-1,387.5116,4.8998,1.0126
imagenet,resnet50,16,plain,2,"layer4.1,layer4.2",-1,-1,-1,464.9703,-72.5589,0.8439
imagenet,resnet50,16,plain,3,"layer4.0,layer4.1,layer4.2",-1,-1,-1,10343.3647,-9950.9533,0.0379
imagenet,resnet50,16,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,9317.1406,-8924.7292,0.0421
imagenet,resnet50,16,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,662.7544,-270.343,0.5921
imagenet,resnet50,16,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,633.8299,-241.4186,0.6191
imagenet,resnet50,16,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,664.2204,-271.809,0.5908
imagenet,resnet50,16,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,588.0872,-195.6758,0.6673
imagenet,resnet50,16,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,530.8226,-138.4112,0.7393
imagenet,resnet50,16,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,529.9988,-137.5874,0.7404
imagenet,resnet50,16,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,537.1833,-144.772,0.7305
imagenet,resnet50,16,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,581.8274,-189.416,0.6744
imagenet,resnet50,16,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,451.8649,-59.4535,0.8684
imagenet,resnet50,16,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,489.582,-97.1706,0.8015
imagenet,resnet50,16,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,578.6835,-186.2721,0.6781
imagenet,resnet50,16,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",-1,-1,-1,483.6728,-91.2615,0.8113
