dataset,model,batch_size,mode,removed_count,removed_blocks,latency_ms,saved_latency_ms,speedup
imagenet100,resnet50,128,full,0,,54.491,0.0,1.0
imagenet100,resnet50,128,plain,1,layer4.2,54.3678,0.1233,1.0023
imagenet100,resnet50,128,plain,2,"layer4.1,layer4.2",54.2179,0.2731,1.005
imagenet100,resnet50,128,plain,3,"layer4.0,layer4.1,layer4.2",53.3441,1.147,1.0215
imagenet100,resnet50,128,plain,4,"layer3.5,layer4.0,layer4.1,layer4.2",53.015,1.476,1.0278
imagenet100,resnet50,128,plain,5,"layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.669,1.822,1.0346
imagenet100,resnet50,128,plain,6,"layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.351,2.1401,1.0409
imagenet100,resnet50,128,plain,7,"layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",52.0517,2.4394,1.0469
imagenet100,resnet50,128,plain,8,"layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",51.7207,2.7704,1.0536
imagenet100,resnet50,128,plain,9,"layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",50.3716,4.1195,1.0818
imagenet100,resnet50,128,plain,10,"layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.7016,4.7895,1.0964
imagenet100,resnet50,128,plain,11,"layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",49.0292,5.4619,1.1114
imagenet100,resnet50,128,plain,12,"layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",48.3898,6.1012,1.1261
imagenet100,resnet50,128,plain,13,"layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",46.0241,8.4669,1.184
imagenet100,resnet50,128,plain,14,"layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",44.7016,9.7895,1.219
imagenet100,resnet50,128,plain,15,"layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",43.3627,11.1283,1.2566
imagenet100,resnet50,128,plain,16,"layer1.0,layer1.1,layer1.2,layer2.0,layer2.1,layer2.2,layer2.3,layer3.0,layer3.1,layer3.2,layer3.3,layer3.4,layer3.5,layer4.0,layer4.1,layer4.2",40.5856,13.9055,1.3426
