dataset,model,block_idx,block,num_batches,l2_ratio_mean,l2_ratio_std,cosine_mean,cosine_std
imagenet100,resnet50,0,layer1.0,198,0.897611,0.066562,-0.753184,0.136432
imagenet100,resnet50,1,layer1.1,198,1.39714,0.080072,-0.047346,0.011307
imagenet100,resnet50,2,layer1.2,198,1.286225,0.130989,-0.068915,0.01569
imagenet100,resnet50,3,layer2.0,198,1.067031,0.114477,0.349263,0.096131
imagenet100,resnet50,4,layer2.1,198,0.96631,0.100296,-0.294934,0.031267
imagenet100,resnet50,5,layer2.2,198,1.055865,0.044596,-0.231171,0.024456
imagenet100,resnet50,6,layer2.3,198,1.138095,0.054309,-0.185174,0.020327
imagenet100,resnet50,7,layer3.0,198,1.389419,0.10035,0.391995,0.046221
imagenet100,resnet50,8,layer3.1,198,0.960133,0.088806,-0.248836,0.040939
imagenet100,resnet50,9,layer3.2,198,0.974352,0.078437,-0.208495,0.014671
imagenet100,resnet50,10,layer3.3,198,1.01338,0.075924,-0.18592,0.014696
imagenet100,resnet50,11,layer3.4,198,1.317429,0.101121,-0.205904,0.021074
imagenet100,resnet50,12,layer3.5,198,1.392237,0.123352,-0.205438,0.009788
imagenet100,resnet50,13,layer4.0,198,1.094731,0.076093,0.59773,0.054764
imagenet100,resnet50,14,layer4.1,198,3.1672,0.358423,-0.168559,0.018047
imagenet100,resnet50,15,layer4.2,198,4.817723,1.058932,-0.17821,0.021036
