dataset,model,block_idx,block,num_batches,l2_ratio_mean,l2_ratio_std,cosine_mean,cosine_std
imagenet,resnet50,0,layer1.0,20,0.913091,0.058893,-0.742904,0.156167
imagenet,resnet50,1,layer1.1,20,1.21306,0.100897,-0.047483,0.009841
imagenet,resnet50,2,layer1.2,20,1.212386,0.064998,-0.080336,0.024167
imagenet,resnet50,3,layer2.0,20,0.981583,0.134814,0.334979,0.072803
imagenet,resnet50,4,layer2.1,20,0.936245,0.035375,-0.312648,0.026557
imagenet,resnet50,5,layer2.2,20,1.024194,0.026594,-0.268893,0.03396
imagenet,resnet50,6,layer2.3,20,1.131196,0.03181,-0.182444,0.006305
imagenet,resnet50,7,layer3.0,20,1.343347,0.084232,0.396635,0.02348
imagenet,resnet50,8,layer3.1,20,0.962403,0.056452,-0.25262,0.015302
imagenet,resnet50,9,layer3.2,20,0.963403,0.050296,-0.22116,0.011604
imagenet,resnet50,10,layer3.3,20,1.041181,0.064043,-0.20883,0.012676
imagenet,resnet50,11,layer3.4,20,1.399397,0.083514,-0.21637,0.01384
imagenet,resnet50,12,layer3.5,20,1.422093,0.085548,-0.211842,0.00717
imagenet,resnet50,13,layer4.0,20,1.111443,0.061747,0.631264,0.029922
imagenet,resnet50,14,layer4.1,20,3.620555,0.28943,-0.160927,0.012103
imagenet,resnet50,15,layer4.2,20,5.493907,0.989348,-0.17562,0.015337
