model,dataset,compensator,rank,calib_size,epochs,final_calib_loss,top1,top5,loss,latency_ms,latency_std_ms,peak_memory_mb,macs,params
resnet50,imagenet,full_residual,0,0,0,0.0,80.122,95.24,1.418019,68.6351,0.4321,779.67,4087138304,25557032
resnet50,imagenet,plain,0,0,0,0.0,40.73,64.95,6.057,56.962,0.1257,880.39,4087138304,25557032
resnet50,imagenet,scalar,0,1024,5,0.260025,40.818,65.072,5.935913,57.0118,0.1266,987.13,4087138304,25557048
resnet50,imagenet,affine,0,1024,5,0.260603,41.354,65.98,5.961606,57.0465,0.0924,987.75,4087138304,25587240
resnet50,imagenet,linear1x1,0,1024,5,0.231289,49.3,76.836,5.200469,59.3309,0.1263,1081.62,4292659200,45691688
resnet50,imagenet,low_rank_r4,4,1024,5,0.248471,44.474,71.642,5.543354,57.3182,0.1491,991.15,4087941120,25677864
resnet50,imagenet,low_rank_r8,8,1024,5,0.247328,44.952,71.746,5.544454,57.3243,0.1193,988.36,4088743936,25798696
resnet50,imagenet,low_rank_r16,16,1024,5,0.247447,44.766,71.782,5.51915,57.167,0.1183,990.78,4090349568,26040360
resnet50,imagenet,low_rank_r32,32,1024,5,0.244419,45.972,72.714,5.478535,57.2892,0.1201,992.0,4093560832,26523688
resnet50,imagenet,adapter,16,1024,5,0.248422,44.404,71.458,5.537592,57.5299,0.7873,990.1,4090349568,26055720
